uuid	domain	name	duration	label	text	k8	k32	k8_hi	p_estar	estar_frac	only_window	why
000a7fef-b82f-4bae-9837-a094e95792d1	Basketball	Spin Move	1.6349666666666667	text_shortcut	0.9334	0.8619	0.8433	0.8932	None	None	False	纯文本 p_gt=0.93，不看视频就能答
00137990-c517-42f8-a243-4c4c0935984f	Gym	Bicep Curl	2.006289308176101	already_solvable	0.3428	0.7794	0.7805		None	None	False	粗观测 p_gt=0.78（N=0 对照）
00195682-6175-42a2-b3ec-9a0744084c7b	Tattooing	Push Whip Shading	13.4	unsolvable	0.2591	0.1452	0.1752	0.1351	0.2788	0.1	False	最好的窗只到 p_gt=0.28（<0.6），给了证据也解不了
00362dfc-64b9-4ecb-beb6-36e07ecde1d8	Yo-yo	Double Trapeze	2.5	unsolvable	0.2135	0.1428	0.1468		0.254	0.3	False	最好的窗只到 p_gt=0.25（<0.6），给了证据也解不了
004e5ce0-fef3-4f76-8da2-e5a6e94c3f05	Ice Hockey	Hip Check	2.9696333333333333	borderline	0.4805	0.6349	0.6222	0.6454	0.695	0.1	False	粗观测 0.63 → E* 窗 0.69，提升 +0.06 不足 0.25
004f237c-7016-4f9e-9d89-39be66ca8230	Knots	Water Knot	88.02126666666666	unsolvable	0.0858	0.0871	0.0645	0.1362	0.1177	0.3	False	最好的窗只到 p_gt=0.12（<0.6），给了证据也解不了
005202cf-c165-441d-ac78-5a880e4c99a0	Gym	Bent-Over Row	3.5	already_solvable	0.3053	0.7466	0.8789	0.8169	None	None	False	粗观测 p_gt=0.75（N=0 对照）
0053006d-b0e3-499c-b599-6089def0e5cd	Cooking	Windowpane Test	10.977633333333333	unsolvable	0.1436	0.109	0.0397		0.1764	0.1	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
00569342-c7cb-47cc-93fc-ea05dc7ee2fe	Suturing	Running Subcuticular Stitch	132.6	unsolvable	0.2775	0.2508	0.276	0.3004	0.3958	0.3	False	最好的窗只到 p_gt=0.40（<0.6），给了证据也解不了
005a8473-9531-4886-b03a-a99d0aa39132	Knots	Hunter's Bend	78.0	unsolvable	0.1439	0.1222	0.125		0.1302	0.1	False	最好的窗只到 p_gt=0.13（<0.6），给了证据也解不了
00652e15-b64a-445b-a274-fe564592b6d2	Coffee	Purging the Steam Wand	6.0	already_solvable	0.2465	0.8801	0.9401	0.9452	None	None	False	粗观测 p_gt=0.88（N=0 对照）
006db179-f2b0-448f-b065-e3f0ee4ac6d8	Suturing	Vertical Mattress Suture	103.9038	unsolvable	0.1428	0.2216	0.2005	0.2191	0.2613	0.3	False	最好的窗只到 p_gt=0.26（<0.6），给了证据也解不了
00723481-cb6a-4f13-8339-7fda9d5867fb	Suturing	Horizontal Mattress Suture	77.91116666666667	unsolvable	0.185	0.0878	0.124	0.0956	0.2152	0.2	False	最好的窗只到 p_gt=0.22（<0.6），给了证据也解不了
007f8a76-747f-43d3-b0be-9a0b4fd77ae7	Gym	Dumbbell Shrug	2.9612916666666664	unsolvable	0.3187	0.3227	0.3738	0.2912	0.554	0.2	False	最好的窗只到 p_gt=0.55（<0.6），给了证据也解不了
0085cd4c-8fbb-4815-abd3-d369f3898872	Ballet	Échappé	3.003	unsolvable	0.241	0.3862	0.3821	0.4165	0.4959	0.3	False	最好的窗只到 p_gt=0.50（<0.6），给了证据也解不了
008765fd-6c82-4652-bc73-6e78fc7da12b	Gardening	Reduction Cut	15.014999999999999	already_solvable	0.1879	0.9938	0.995	0.997	None	None	False	粗观测 p_gt=0.99（N=0 对照）
00ba016a-cc19-418b-9079-fe306e3edd0f	Neurological Abnormalities	Absence Seizure	8.0	unsolvable	0.1028	0.233	0.2585	0.3219	0.4304	0.1	False	最好的窗只到 p_gt=0.43（<0.6），给了证据也解不了
00be7a2a-0e9d-4731-bded-9686158343df	Bartending	Multiplex	2.7	unsolvable	0.1325	0.3093	0.3282		0.1853	0.3	False	最好的窗只到 p_gt=0.19（<0.6），给了证据也解不了
00bf6a5f-84db-4a8e-88a8-7eb87f760d14	Basketball	Finger Roll Layup	3.9622916666666663	unsolvable	0.3059	0.3654	0.4025	0.365	0.5183	0.1	False	最好的窗只到 p_gt=0.52（<0.6），给了证据也解不了
01175375-b9a4-4684-93b2-593fcae1fdd6	Neurological Abnormalities	Hyperreflexia	3.003	already_solvable	0.1724	0.8025	0.8784	0.7651	None	None	False	粗观测 p_gt=0.80（N=0 对照）
012583ae-a242-4b9b-8ec0-b65da2f68069	Cricket	Flipper	3.0	unsolvable	0.2013	0.1017	0.0673	0.1124	0.1048	0.2	False	最好的窗只到 p_gt=0.10（<0.6），给了证据也解不了
01398ac0-60e5-456d-84c9-7feda60a990f	Tennis	Underhand Serve	4.0	unsolvable	0.2191	0.2408	0.2882		0.2877	0.3	False	最好的窗只到 p_gt=0.29（<0.6），给了证据也解不了
